Nombre,Afinidad electr??nica,Potencial de Ionizaci??n,Electronegatividad,Potencial Qu??mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,MOL_WEIGHT,LOGP,#ROTATABLE_BONDS,#ACCEPTORS,#DONORS,SURFACE_AREA,Water solubility,Caco2 permeability,Intestinal absorption (human),Skin Permeability
TAM-Hydroxyl,0.75,5.73,3.24,-3.24,2.11,2.49,0.4016,-5.73,-0.75,0.7992,4.0392,4.8384,3.0625,344.45,5.4268,7,2,1,154.953,-6.195,1.257,99.332,-2.734
TAM-Amide,0.77,5.7,3.23,-3.23,2.12,2.46,0.4065,-5.7,-0.77,0.8134,4.0484,4.8618,3.0925,399.52,5.9128,8,2,0,179.175,-6.437,1.439,100,-2.731
TAM-Carboxyl,0.77,5.72,3.24,-3.24,2.13,3.48,0.2874,-5.72,-0.77,0.8142,4.0592,4.8733,3.0725,372.46,5.9092,8,2,1,165.48,-5.137,1.427,100,-2.735
TAM-Sulfhydriyl,0.77,5.74,3.26,-3.26,2.13,2.5,0.4,-5.74,-0.77,0.8149,4.0699,4.8848,3.0525,360.51,6.3643,7,2,1,161.314,-6.446,1.247,98.283,-2.738
Mirabamide A,1.17,6.36,3.6281,-3.6281,1.3389,4.9155,0.2034,-6.36,-1.17,1.1731,4.9381,6.1113,2.4325,1597.22,-5.5937,29,26,18,648.8,-2.892,-0.825,0,-2.735
Mirabamide B,1.09,6.1,3.5956,-3.5956,1.2894,5.0132,0.1995,-6.1,-1.09,1.0953,4.6903,5.7855,2.6925,1580.19,-4.4057,28,25,17,642.77,-2.892,-0.862,0,-2.735
Mirabamide C,0.99,6.26,3.6227,-3.6227,1.246,5.2665,0.1899,-6.26,-0.99,1.0104,4.6354,5.6457,2.5325,1451.08,-4.0944,27,22,16,591.8,-2.892,-0.717,0,-2.735
Mirabamide D,1.03,6.19,3.6066,-3.6066,1.2615,5.1555,0.194,-6.19,-1.03,1.0431,4.6531,5.6962,2.6025,1562.78,-4.41,29,38,20,576.45,-2.892,-0.873,0,-2.735
Mirabamide E,1.21,6.07,3.6397,-3.6397,1.3617,4.864,0.2056,-6.07,-1.21,1.21,4.85,6.06,2.7225,1579.21,-3.13,28,37,19,556.23,-2.892,-0.783,0,-2.735
Mirabamide F,1.06,6.13,3.5969,-3.5969,1.2771,5.0654,0.1974,-6.13,-1.06,1.0685,4.6635,5.732,2.6625,1563.21,-2.19,28,36,18,536,-2.892,-0.661,0,-2.735
Mirabamide G,0.96,6.16,3.5582,-3.5582,1.2181,5.1968,0.1924,-6.16,-0.96,0.9822,4.5422,5.5245,2.6325,1433.07,-2.36,26,33,17,497.3,-2.891,-0.676,0,-2.735
Mirabamide H,1.23,6.13,3.6822,-3.6822,1.3844,4.897,0.2042,-6.13,-1.23,1.23,4.91,6.14,2.6625,1417.07,-1.41,26,32,16,477.07,-2.891,-0.553,0,-2.735
Elisidepsin,1.576,6.539,4.0576,-4.0576,1.6581,4.9647,0.2014,-6.539,-1.576,1.5986,5.6561,7.2548,2.2535,1477.899,1.8364,33,17,14,619.778,-2.892,1.229,0,-2.735
Plitidepsin,2.199,6.128,4.1636,-4.1636,2.205,3.931,0.2544,-6.128,-2.199,2.5758,6.7393,9.3151,2.6645,1110.357,2.5247,15,15,4,464.626,-2.921,0.988,32.515,-2.735
Leucine enkephalin (MN12SX),0.83,6.16,3.4976,-3.4976,1.1471,5.3321,0.1875,-6.16,-0.83,0.8774,4.3724,5.2497,2.6325,555.63,-0.85,15,12,8,199.94,-2.985,-0.642,11.286,-2.735
Leucine enkephalin (N12SX),0.68,5.88,3.2797,-3.2797,1.034,5.2015,0.1923,-5.88,-0.68,0.7539,4.0339,4.7878,2.9125,555.63,-0.85,15,12,8,199.94,-2.985,-0.642,11.286,-2.735
Soblidotin,0.7353,6.306,3.5206,-3.5206,1.1125,5.5707,0.1795,-6.306,-0.7353,0.8129,4.3335,5.1464,2.4865,701.994,3.9926,20,7,2,301.721,-4.037,0.774,60.618,-2.712
Tasidotin,0.649,6.279,3.464,-3.464,1.0657,5.63,0.1776,-6.279,-0.649,0.7512,4.2152,4.9664,2.5135,606.853,2.0931,11,6,2,258.987,-3.319,0.672,47.281,-2.719
Histidine,0.043,0.219,3.5551,-3.5551,1.3182,4.7941,0.2086,-0.219,-0.043,0.043,0.174,0.217,8.5735,155.16,-3,3,5,4,92,-2.892,-0.417,50.754,-2.735
Phenylalanine,0.042,0.249,3.9521,-3.9521,1.3896,5.6202,0.1779,-0.249,-0.042,0.0425,0.188,0.2304,8.5435,165.19,-1.23,3,3,3,63.32,-2.89,0.62,76.21,-2.734
Tryptophan,0.044,0.206,3.398,-3.398,1.31,4.4069,0.2269,-0.206,-0.044,0.0441,0.1691,0.2132,8.5865,204.23,-1.08,3,4,4,79.11,-2.891,0.638,77.224,-2.735
Tyrosine,0.042,0.226,3.6407,-3.6407,1.3206,5.0186,0.1993,-0.226,-0.042,0.0421,0.1761,0.2182,8.5665,181.19,-1.71,3,4,4,83.55,-2.89,0.553,73.014,-2.735
Oxytocin,0.763,6.082,3.4225,-3.4225,1.1011,5.319,0.188,-6.082,-0.763,0.8234,4.2459,5.0693,2.7105,1007.207,-3.6086,17,15,12,407.108,-2.886,0.986,0,-2.735
Vasopressin,0.815,6.13,3.4725,-3.4725,1.1344,5.315,0.1881,-6.13,-0.815,0.8647,4.3372,5.2018,2.6625,2140.492,-9.7336,38,32,27,865.687,-2.892,0.009,0,-2.735
Parasin I (MN12SX),1.25,5.96,3.6062,-3.6062,1.3829,4.7019,0.2127,-5.96,-1.25,1.2511,4.8561,6.1072,2.8325,2000.348,-15.58819,76,32,38,810.709,-2.892,-2.005,0,-2.735
Parasin I (N12SX),1.11,5.62,3.3656,-3.3656,1.2577,4.5032,0.2221,-5.62,-1.11,1.1101,4.4751,5.5851,3.1725,2000.348,-15.58819,76,32,38,810.709,-2.892,-2.005,0,-2.735
Cholecystokinin peptide hormone (CCK-8) (MN12SX),1.002,5.62,3.3101,-3.3101,1.1866,4.617,0.2166,-5.62,-1.002,2.5383,1.2258,3.7641,3.1725,1143.29,-4.06,33,16,15,4626.8,-2.892,-1.049,0,-2.735
Cholecystokinin peptide hormone (CCK-8) (N12SX),0.824,5.39,3.1067,-3.1067,1.0571,4.565,0.2191,-5.39,-0.824,2.3244,1.0754,3.3998,3.4025,1143.29,-4.06,33,16,15,4626.8,-2.892,-1.049,0,-2.735
Taltobulin,1.733,6.24,3.986,-3.986,1.763,4.507,0.2219,-6.24,-1.733,5.8,1.814,7.614,2.5525,473.66,4.43,11,7,3,98.73,-3.383,0.381,47.847,-2.733
FAR,2.838,7.051,4.945,-4.945,2.902,4.212,0.2374,-7.051,-2.838,8.54,3.595,12.135,1.7415,392.46,-1.10623,11,5,7,163.104,-2.864,-0.537,11.604,-2.735
FAY,3.285,6.223,4.754,-4.754,3.846,2.938,0.3404,-6.223,-3.285,10.252,5.498,15.75,2.5695,399.447,0.5788,9,5,5,168.286,-2.888,-0.454,34.839,-2.735
FVY,1.753,6.254,4.003,-4.003,1.78,4.501,0.2222,-6.254,-1.753,5.844,1.84,7.684,2.5385,427.501,1.2149,10,5,5,181.016,-2.922,-0.415,35.899,-2.735
